#BJD_TDB	rel_flux_T1_dfn	rel_flux_err_T1_dfn
2459320.732287	1.000428	0.001095
2459320.735506	1.000393	0.001093
2459320.738757	0.999039	0.001093
2459320.741978	1.000798	0.001103
2459320.748422	1.000173	0.001084
2459320.751647	0.997503	0.001074
2459320.754865	0.998774	0.001076
2459320.758093	0.998791	0.001071
2459320.761327	1.000950	0.001071
2459320.764537	1.001754	0.001070
2459320.767765	1.001465	0.001064
2459320.770982	1.001136	0.001062
2459320.774200	1.000738	0.001064
2459320.777418	0.999380	0.001060
2459320.780651	0.999409	0.001056
2459320.783874	0.999708	0.001052
2459320.787095	1.001722	0.001051
2459320.790315	0.999787	0.001049
2459320.793541	0.999960	0.001050
2459320.796766	0.998859	0.001049
2459320.799984	0.997679	0.001050
2459320.803202	1.000616	0.001053
2459320.806430	1.000798	0.001055
2459320.809651	1.000632	0.001054
2459320.812869	1.000389	0.001054
2459320.816099	0.995911	0.001052
2459320.819318	0.995861	0.001053
2459320.822542	0.995181	0.001050
2459320.825759	0.993681	0.001049
2459320.828981	0.993481	0.001051
2459320.832201	0.993888	0.001054
2459320.835419	0.997367	0.001055
2459320.838642	0.995871	0.001055
2459320.841866	0.994651	0.001055
2459320.845088	0.996655	0.001059
2459320.848308	0.995566	0.001059
2459320.851538	0.997472	0.001065
2459320.854762	0.999275	0.001071
2459320.857986	0.998673	0.001072
2459320.861205	1.000298	0.001078
2459320.864427	1.000373	0.001083
2459320.867645	0.999080	0.001084
2459320.870867	1.000247	0.001092
2459320.874099	1.001059	0.001095
2459320.877328	1.001254	0.001106
2459320.880553	1.002382	0.001103
2459320.883818	0.998676	0.001101
2459320.887049	0.998425	0.001102
2459320.890269	0.999395	0.001111
2459320.893494	0.997809	0.001112
2459320.896713	1.001054	0.001123
2459320.899928	0.998748	0.001125
2459320.903152	1.000517	0.001132
2459320.906394	1.001526	0.001139
