#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	AIRMASS	Width_T1
2459358.104302	0.999972	0.001161	1.573248	10.696580
2459358.105323	0.998619	0.001159	1.583793	10.682410
2459358.106344	1.002110	0.001166	1.594529	11.036288
2459358.107367	1.001770	0.001168	1.605459	10.692856
2459358.108388	0.999875	0.001170	1.616586	11.017990
2459358.109409	1.000936	0.001168	1.627913	10.636988
2459358.110431	1.002624	0.001170	1.639444	10.870745
2459358.111452	1.002227	0.001173	1.651182	10.617804
2459358.112473	0.998156	0.001176	1.663135	10.919238
2459358.113495	1.002563	0.001181	1.675396	10.957826
2459358.114516	1.001607	0.001184	1.687805	10.883949
2459358.115537	0.999787	0.001190	1.700442	10.994259
2459358.116558	0.998327	0.001201	1.713321	10.621780
2459358.117578	1.002759	0.001217	1.726442	10.884375
2459358.118599	0.999148	0.001241	1.739807	11.567808
2459358.119620	1.002618	0.001264	1.753428	11.257931
2459358.120640	0.999688	0.001301	1.767311	11.559544
2459358.121662	1.000678	0.001346	1.781459	11.616261
