#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	AIRMASS	Width_T1
2459358.038066	0.998489	0.001155	1.158393	9.941016
2459358.038880	0.995874	0.001154	1.161298	9.479687
2459358.039695	0.997336	0.001155	1.164242	9.388932
2459358.040508	0.995086	0.001153	1.167223	9.271270
2459358.041321	0.997933	0.001153	1.170216	9.261293
2459358.042136	0.997577	0.001149	1.173275	9.421899
2459358.042949	0.996986	0.001151	1.176374	9.492423
2459358.043762	0.998196	0.001152	1.179514	9.598429
2459358.044575	0.996850	0.001152	1.182694	9.886219
2459358.045389	0.998393	0.001151	1.185917	9.565460
2459358.046204	0.997884	0.001151	1.189181	9.795926
2459358.047017	0.998300	0.001145	1.192456	9.260350
2459358.047830	0.995741	0.001143	1.195804	9.030705
2459358.048643	0.996953	0.001145	1.199197	9.316163
2459358.049456	0.999348	0.001145	1.202632	9.339828
2459358.050269	0.998853	0.001147	1.206109	9.601779
2459358.051083	0.996521	0.001148	1.209632	9.525260
2459358.051897	0.997102	0.001149	1.213199	9.633987
2459358.052709	0.997655	0.001150	1.216813	9.909711
2459358.053524	0.994673	0.001147	1.220473	9.604957
2459358.054337	0.998111	0.001152	1.224148	10.667776
2459358.055153	0.995067	0.001146	1.227938	10.097345
2459358.055966	0.995879	0.001145	1.231741	10.079414
2459358.056781	0.997588	0.001147	1.235593	10.172330
2459358.057595	0.996947	0.001146	1.239491	10.193419
2459358.058408	0.996111	0.001148	1.243439	10.245094
2459358.059222	0.997972	0.001152	1.247438	10.736210
2459358.060035	0.996802	0.001153	1.251492	10.885366
2459358.060849	0.995879	0.001163	1.255596	11.434319
2459358.061663	0.995448	0.001161	1.259749	11.479095
2459358.062476	0.996664	0.001162	1.263955	11.496166
2459358.063289	0.997447	0.001151	1.268212	10.583005
2459358.064103	0.995992	0.001147	1.272524	10.575939
2459358.064919	0.996796	0.001146	1.276913	10.299585
2459358.065734	0.996617	0.001141	1.281356	10.148366
2459358.066547	0.997004	0.001140	1.285837	10.293698
2459358.067360	0.998640	0.001143	1.290376	10.936519
2459358.068173	0.998390	0.001132	1.294972	10.254332
2459358.068987	0.995569	0.001136	1.299629	10.724086
2459358.069800	0.995000	0.001131	1.304340	10.522713
2459358.070612	0.997585	0.001130	1.309111	10.224654
2459358.071426	0.998328	0.001125	1.313945	10.020120
